,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
2980022,SKS,iamEmler,1.0,253571.1,180524.6,MIRAMAR,2U4GBNA0YmnzpNW0MxRv3XFSlzKXEoCIxLsTKGUH26royji9__64Msz-Fwmd7w-F,1812,WSNDNMSLO,2.0,259365.6,183650.9
2980219,M416,guozhenmin888,1.0,549956.9,443155.2,MIRAMAR,2U4GBNA0YmnZ7sDaGYnNupeJp9U54qj0FefeNu9RMYyRCWiOCPTnSdmQiHgJiA6l,1888,DK_Meng,2.0,551024.4,443228.4
2982210,M416,Glacier_1,1.0,444312.3,249883.6,MIRAMAR,2U4GBNA0YmnblPWhBxpMQxY70enf9qVX2w4oH9WNm_4hHlXynxCdv4aNuw3L4nvy,1927,ZY_14,2.0,439776.2,251780.0
2984290,AKM,DDDDDDDssm,1.0,304115.9,414023.1,MIRAMAR,2U4GBNA0Yml3Q3lGGI7IU7U1kDnqrOhUI9OBHSn-DKx4yZtnejrMV4nIlNYV8uwB,1836,TIANMIDAS,2.0,293129.9,418479.0
2988166,SKS,Lucyi,1.0,226985.8,445313.3,MIRAMAR,2U4GBNA0YmltdlxITRlhC2JuaDy5h-8D8TK9Ne8n61qgWRQqcNi9AghpghogTmW6,1761,wrnm1995,2.0,238293.9,444886.9
2989890,SCAR-L,laodiao001,1.0,594114.8,408032.1,MIRAMAR,2U4GBNA0Ymk5j_boZcI6TrYVVD0GfdBwO6g01krhiVVlECMGAC5zzLIioIP4x8yk,1944,Kevahunter,2.0,594892.6,408056.5
2992027,AKM,boge-NB,1.0,176086.1,370012.0,MIRAMAR,2U4GBNA0YmlpREQVNh2yY1Hxf8WZ6tOXPBgOl-oZXWslWohxgeZKcXIj58SkEZlv,1802,erwazuishuai,2.0,176251.5,375843.7
2997693,M416,YYYuGeYa,1.0,424636.8,205429.9,MIRAMAR,2U4GBNA0YmnWQPW-rh_xsH12ZWVlWJjEaodCZhAIRmWBKMvq-3kE9A7zwPfwq-Rp,1920,cdp000,2.0,426689.5,203851.3
3000119,Kar98k,China_Aifan,1.0,398193.9,75235.77,MIRAMAR,2U4GBNA0Ymlv8jK9ID5e5e1LpAD_4ZXmR7p9RaL9pMFzuMGYJWldiWQtNT_L-B4F,1806,Soul_truth,2.0,408714.8,72619.91
3002362,M416,YangBo-123456,1.0,260899.9,474090.2,MIRAMAR,2U4GBNA0YmkK5Y-mhFxtCVpGUJQCfVMkCqLs7hvzqUDv3quQVF9AL9c2ACgle1vZ,1880,ClementLy,2.0,261768.1,470973.6
3003781,SCAR-L,Lebedev_77,1.0,547179.9,543143.9,MIRAMAR,2U4GBNA0YmnuXcvYa9n-B7iUuL84DGN9nG2a_xx2ifKJusi_jGPgzyouoYAiXeJQ,1910,tfaizz,2.0,545004.8,546378.6
3004639,M416,wxy2018,1.0,312917.9,480719.5,MIRAMAR,2U4GBNA0Ymlr7T_PkupyMDRniHeQC6IEsN_n2K3Ice3n2Rb--nAUx4MIGfQBmKZe,1872,Lp_God,2.0,313879.0,475637.8
3005434,M16A4,denma-w,1.0,564738.4,388253.1,MIRAMAR,2U4GBNA0Ymmjov3ae4ryfqcln4RcNFgXb7LspUQGtZRD9rsEDpZCew5U2utwOfJo,1767,tatktatk,2.0,564809.9,389024.3
3006648,M416,happylee_LKX,1.0,385704.2,64600.81,MIRAMAR,2U4GBNA0YmmpPCDECqPTcMhn2j76Cl5imEkQsa2Rrk0JkH7eosBlxhexxnmtFgar,1835,Zarandra,2.0,385933.4,69323.0
3009319,M24,China-wangliang,1.0,481659.6,310222.2,MIRAMAR,2U4GBNA0YmmtgGqkvBwOKt3W_X-3y6c1yEPb7r10yFQU1bh4j2yGMKIjovhrIkXW,1844,azhen216,2.0,477876.5,313269.7
3009384,SKS,wgqq-527766888,1.0,234038.2,517716.6,MIRAMAR,2U4GBNA0YmmgTHysWC32XlUt-6N403YAzsbIuAuL6A1DunZUE4a5BI1RkXis6KJc,1902,DragonLina,2.0,233219.0,518024.5
3018145,UMP9,ZhouHongLin-X,1.0,191308.1,264743.3,MIRAMAR,2U4GBNA0YmnVvmBwwO8qcJJSixYK4DrymznSWYWLcMyKx84U_nWzk7WCjkcrLqAf,1899,chlgusls0422,2.0,190369.8,263480.5
3019558,SKS,69_25Cm50Phut,1.0,392486.6,396524.8,MIRAMAR,2U4GBNA0YmmFxAIlA1KYWqLzW2AbZT4HOXWvkAGypCI4SJ7ZhgEeStMubSxHJ7ih,1817,chrischaoyang,2.0,389321.6,390782.3
3022058,M416,119niubi,1.0,130883.7,408054.3,MIRAMAR,2U4GBNA0YmlbC43dwtvMnagb-jd_7lPb6Tut9_rcTsAhW5HdsVX99OHWDuEEJef_,1791,TiendepzaiVN,2.0,133331.7,404169.5
3028893,M416,perfektshun,1.0,214385.8,349571.3,MIRAMAR,2U4GBNA0Yml8DipsfZfhbAgAAZtLYbtjEhWHmD8Ww5ro0CaMjEEzna9r21lY3TGQ,1836,gdollas,2.0,215287.8,347465.9
3036912,M416,ksbai,1.0,572159.1,370962.9,MIRAMAR,2U4GBNA0YmmOCJAKeU0rrwenwJ2Ugcyf1_u4Lb4fp5IVspp79ckLalk7wnsb7B5U,1880,Xxxander,2.0,565336.4,365543.9
3037074,AUG,CX_DANDNA,1.0,334551.5,210525.8,MIRAMAR,2U4GBNA0YmmaoKjawt5O651bFWGjBbhf3ANytCmUbW_byN8njFjbmMnakguBLmUF,1950,GTX0707DX,2.0,334375.2,211328.4
3038905,M416,OldFourrrr,1.0,491777.3,457190.8,MIRAMAR,2U4GBNA0YmmkdaU-wI1nCAVbX6FoJzLMATT6dOn7fFa4zbBIzjCXwfg79iDd493B,1870,haoyunxiao,2.0,493739.3,459065.8
3040286,M416,zz1394356164,1.0,486079.7,407394.6,MIRAMAR,2U4GBNA0YmmdKcjz9IYyN0Uv1f-_samQzXAnlsVW4HL1G9Qe3LRrXV9db8U4z0ec,1876,Venomstrike,2.0,485242.1,406385.3
3043635,M16A4,nocturnegod,1.0,483738.5,482574.8,MIRAMAR,2U4GBNA0Ymna5yha2wJRed0WSd7TIuhbym8tUCPrup4uhjf1frfsvAJyiU6SRHMQ,2018,MG360,2.0,483690.5,481743.7
